feature,coefficient,direction,model_name,representation
adulterated,2.37115,positive,tfidf_word_lr,title_only
adulteration,1.49915,positive,tfidf_word_lr,title_only
coconut,1.47835,positive,tfidf_word_lr,title_only
found,1.36197,positive,tfidf_word_lr,title_only
fake,1.31291,positive,tfidf_word_lr,title_only
seizes,1.17716,positive,tfidf_word_lr,title_only
of,1.1309,positive,tfidf_word_lr,title_only
the,1.1194,positive,tfidf_word_lr,title_only
spurious,1.04336,positive,tfidf_word_lr,title_only
times,0.96986,positive,tfidf_word_lr,title_only
news,0.87742,positive,tfidf_word_lr,title_only
hyderabad,0.86821,positive,tfidf_word_lr,title_only
litres,0.84765,positive,tfidf_word_lr,title_only
food,0.83421,positive,tfidf_word_lr,title_only
loose,0.80806,positive,tfidf_word_lr,title_only
substandard,0.78329,positive,tfidf_word_lr,title_only
seized,0.73005,positive,tfidf_word_lr,title_only
sale,0.7016,positive,tfidf_word_lr,title_only
cases,0.6807,positive,tfidf_word_lr,title_only
items,0.67703,positive,tfidf_word_lr,title_only
be,0.66657,positive,tfidf_word_lr,title_only
thiruvananthapuram,0.63733,positive,tfidf_word_lr,title_only
inspection,0.61722,positive,tfidf_word_lr,title_only
lakh,0.61622,positive,tfidf_word_lr,title_only
ahead,0.61613,positive,tfidf_word_lr,title_only
india,0.61072,positive,tfidf_word_lr,title_only
fraud,0.60372,positive,tfidf_word_lr,title_only
busts,0.60015,positive,tfidf_word_lr,title_only
kanpur,0.55676,positive,tfidf_word_lr,title_only
in,0.54531,positive,tfidf_word_lr,title_only
palm,-1.87588,negative,tfidf_word_lr,title_only
ban,-1.74551,negative,tfidf_word_lr,title_only
indonesia,-1.39975,negative,tfidf_word_lr,title_only
export,-1.2409,negative,tfidf_word_lr,title_only
as,-1.0569,negative,tfidf_word_lr,title_only
to,-0.86717,negative,tfidf_word_lr,title_only
is,-0.82594,negative,tfidf_word_lr,title_only
bans,-0.77326,negative,tfidf_word_lr,title_only
vegetable,-0.65069,negative,tfidf_word_lr,title_only
prices,-0.61981,negative,tfidf_word_lr,title_only
cooking,-0.60698,negative,tfidf_word_lr,title_only
exports,-0.5947,negative,tfidf_word_lr,title_only
with,-0.54752,negative,tfidf_word_lr,title_only
fire,-0.53375,negative,tfidf_word_lr,title_only
more,-0.52263,negative,tfidf_word_lr,title_only
centre,-0.50819,negative,tfidf_word_lr,title_only
ludhiana,-0.50342,negative,tfidf_word_lr,title_only
import,-0.48159,negative,tfidf_word_lr,title_only
reuse,-0.47653,negative,tfidf_word_lr,title_only
urges,-0.47233,negative,tfidf_word_lr,title_only
crude,-0.46373,negative,tfidf_word_lr,title_only
pradesh,-0.45396,negative,tfidf_word_lr,title_only
cheese,-0.45243,negative,tfidf_word_lr,title_only
imports,-0.44899,negative,tfidf_word_lr,title_only
issues,-0.43204,negative,tfidf_word_lr,title_only
us,-0.4301,negative,tfidf_word_lr,title_only
may,-0.42953,negative,tfidf_word_lr,title_only
arrested,-0.4295,negative,tfidf_word_lr,title_only
why,-0.41796,negative,tfidf_word_lr,title_only
industry,-0.41785,negative,tfidf_word_lr,title_only
adulterated,1.602,positive,tfidf_word_lr,body_only
adulteration,1.332,positive,tfidf_word_lr,body_only
samples,1.09304,positive,tfidf_word_lr,body_only
seized,0.99015,positive,tfidf_word_lr,body_only
collected,0.91214,positive,tfidf_word_lr,body_only
coconut,0.90941,positive,tfidf_word_lr,body_only
fake,0.86303,positive,tfidf_word_lr,body_only
safety,0.84613,positive,tfidf_word_lr,body_only
quality,0.84343,positive,tfidf_word_lr,body_only
substandard,0.8033,positive,tfidf_word_lr,body_only
being,0.79883,positive,tfidf_word_lr,body_only
items,0.77428,positive,tfidf_word_lr,body_only
were,0.76774,positive,tfidf_word_lr,body_only
testing,0.76228,positive,tfidf_word_lr,body_only
found,0.75558,positive,tfidf_word_lr,body_only
food,0.72786,positive,tfidf_word_lr,body_only
sold,0.71622,positive,tfidf_word_lr,body_only
sale,0.63476,positive,tfidf_word_lr,body_only
brand,0.61006,positive,tfidf_word_lr,body_only
litres,0.58069,positive,tfidf_word_lr,body_only
department,0.54584,positive,tfidf_word_lr,body_only
laboratory,0.53699,positive,tfidf_word_lr,body_only
fsda,0.53361,positive,tfidf_word_lr,body_only
hyderabad,0.5103,positive,tfidf_word_lr,body_only
raids,0.49762,positive,tfidf_word_lr,body_only
sent,0.49696,positive,tfidf_word_lr,body_only
brands,0.49555,positive,tfidf_word_lr,body_only
conducted,0.48739,positive,tfidf_word_lr,body_only
loose,0.47935,positive,tfidf_word_lr,body_only
non,0.47126,positive,tfidf_word_lr,body_only
ban,-0.77895,negative,tfidf_word_lr,body_only
indonesia,-0.77742,negative,tfidf_word_lr,body_only
palm,-0.77596,negative,tfidf_word_lr,body_only
prices,-0.70508,negative,tfidf_word_lr,body_only
tonnes,-0.59471,negative,tfidf_word_lr,body_only
domestic,-0.5747,negative,tfidf_word_lr,body_only
export,-0.55261,negative,tfidf_word_lr,body_only
exports,-0.55206,negative,tfidf_word_lr,body_only
imports,-0.54793,negative,tfidf_word_lr,body_only
per,-0.5331,negative,tfidf_word_lr,body_only
cooking,-0.49645,negative,tfidf_word_lr,body_only
industry,-0.48828,negative,tfidf_word_lr,body_only
ukraine,-0.47249,negative,tfidf_word_lr,body_only
cent,-0.46949,negative,tfidf_word_lr,body_only
fire,-0.46118,negative,tfidf_word_lr,body_only
world,-0.45582,negative,tfidf_word_lr,body_only
import,-0.44957,negative,tfidf_word_lr,body_only
vegetable,-0.43428,negative,tfidf_word_lr,body_only
government,-0.42902,negative,tfidf_word_lr,body_only
has,-0.41713,negative,tfidf_word_lr,body_only
million,-0.40813,negative,tfidf_word_lr,body_only
india,-0.40741,negative,tfidf_word_lr,body_only
there,-0.39284,negative,tfidf_word_lr,body_only
commodities,-0.39196,negative,tfidf_word_lr,body_only
its,-0.38333,negative,tfidf_word_lr,body_only
april,-0.37904,negative,tfidf_word_lr,body_only
move,-0.37118,negative,tfidf_word_lr,body_only
crude,-0.36815,negative,tfidf_word_lr,body_only
farmers,-0.36323,negative,tfidf_word_lr,body_only
price,-0.36269,negative,tfidf_word_lr,body_only
adulterated,1.70512,positive,tfidf_word_lr,title_plus_body
adulteration,1.3939,positive,tfidf_word_lr,title_plus_body
samples,1.06896,positive,tfidf_word_lr,title_plus_body
fake,0.95351,positive,tfidf_word_lr,title_plus_body
coconut,0.94924,positive,tfidf_word_lr,title_plus_body
seized,0.90202,positive,tfidf_word_lr,title_plus_body
collected,0.89083,positive,tfidf_word_lr,title_plus_body
found,0.84387,positive,tfidf_word_lr,title_plus_body
safety,0.81979,positive,tfidf_word_lr,title_plus_body
substandard,0.815,positive,tfidf_word_lr,title_plus_body
quality,0.79871,positive,tfidf_word_lr,title_plus_body
